Postcode,Response,Error
0200,"[{""id"": 11248, ""description"": ""AUSTRALIAN NATIONAL UNIVERSITY ACT 0200""}]",
0800,"[{""id"": 9619, ""description"": ""DARWIN NT 0800""}, {""id"": 95097, ""description"": ""DARWIN CITY NT 0800""}]",
0801,"[{""id"": 9621, ""description"": ""DARWIN NT 0801""}]",
0804,"[{""id"": 345, ""description"": ""PARAP NT 0804""}]",
0810,"[{""id"": 11115, ""description"": ""ALAWA NT 0810""}, {""id"": 11882, ""description"": ""BRINKIN NT 0810""}, {""id"": 8398, ""description"": ""CASUARINA NT 0810""}, {""id"": 10049, ""description"": ""COCONUT GROVE NT 0810""}, {""id"": 12914, ""description"": ""JINGILI NT 0810""}, {""id"": 13912, ""description"": ""LEE POINT NT 0810""}, {""id"": 3012, ""description"": ""LYONS NT 0810""}, {""id"": 2420, ""description"": ""MILLNER NT 0810""}, {""id"": 3628, ""description"": ""MOIL NT 0810""}, {""id"": 3498, ""description"": ""MUIRHEAD NT 0810""}, {""id"": 648, ""description"": ""NAKARA NT 0810""}, {""id"": 1024, ""description"": ""NIGHTCLIFF NT 0810""}, {""id"": 1132, ""description"": ""RAPID CREEK NT 0810""}, {""id"": 7743, ""description"": ""TIWI NT 0810""}, {""id"": 4944, ""description"": ""WAGAMAN NT 0810""}, {""id"": 4354, ""description"": ""WANGURI NT 0810""}]",
0811,"[{""id"": 8399, ""description"": ""CASUARINA NT 0811""}]",
0812,"[{""id"": 11317, ""description"": ""ANULA NT 0812""}, {""id"": 8981, ""description"": ""BUFFALO CREEK NT 0812""}, {""id"": 13200, ""description"": ""HOLMES NT 0812""}, {""id"": 12769, ""description"": ""KARAMA NT 0812""}, {""id"": 13966, ""description"": ""LEANYER NT 0812""}, {""id"": 2891, ""description"": ""MALAK NT 0812""}, {""id"": 2319, ""description"": ""MARRARA NT 0812""}, {""id"": 5190, ""description"": ""WULAGI NT 0812""}]",
0813,"[{""id"": 12770, ""description"": ""KARAMA NT 0813""}]",
0814,"[{""id"": 1025, ""description"": ""NIGHTCLIFF NT 0814""}]",
0815,"[{""id"": 8769, ""description"": ""CHARLES DARWIN UNIVERSITY NT 0815""}]",
0820,"[{""id"": 10826, ""description"": ""BAYVIEW NT 0820""}, {""id"": 8767, ""description"": ""CHARLES DARWIN NT 0820""}, {""id"": 10304, ""description"": ""COONAWARRA NT 0820""}, {""id"": 9635, ""description"": ""DARWIN DC NT 0820""}, {""id"": 15295, ""description"": ""EAST POINT NT 0820""}, {""id"": 15391, ""description"": ""EATON NT 0820""}, {""id"": 14957, ""description"": ""FANNIE BAY NT 0820""}, {""id"": 13855, ""description"": ""LARRAKEYAH NT 0820""}, {""id"": 2683, ""description"": ""LUDMILLA NT 0820""}, {""id"": 346, ""description"": ""PARAP NT 0820""}, {""id"": 7978, ""description"": ""STUART PARK NT 0820""}, {""id"": 7298, ""description"": ""THE GARDENS NT 0820""}, {""id"": 7258, ""description"": ""THE NARROWS NT 0820""}, {""id"": 6198, ""description"": ""WINNELLIE NT 0820""}, {""id"": 5404, ""description"": ""WOOLNER NT 0820""}]",
0821,"[{""id"": 6199, ""description"": ""WINNELLIE NT 0821""}]",
