LocationId,Suburb,Postcode,Zone Abbreviation,Serialised Settings
1,DARWIN,800,NT,
2,ALAWA,810,NT,
3,BRINKIN,810,NT,
4,CASUARINA,810,NT,
5,JINGILI,810,NT,
6,LEE POINT,810,NT,
7,MILLNER,810,NT,
8,MOIL,810,NT,
9,NAKARA,810,NT,
10,NIGHTCLIFF,810,NT,
11,RAPID CREEK,810,NT,
12,TIWI,810,NT,
13,WAGAMAN,810,NT,
14,WANGURI,810,NT,
15,KARAMA,812,NT,
16,LEANYER,812,NT,
17,MALAK,812,NT,
18,MARRARA,812,NT,
19,WULAGI,812,NT,
21,BAYVIEW,820,NT,
22,CHARLES DARWIN,820,NT,
23,COONAWARRA,820,NT,
25,EAST POINT,820,NT,
26,FANNIE BAY,820,NT,
27,LARRAKEYAH,820,NT,
28,LUDMILLA,820,NT,
29,PARAP,820,NT,
30,STUART PARK,820,NT,
31,THE GARDENS,820,NT,
32,THE NARROWS,820,NT,
33,WINNELLIE,820,NT,
34,WOOLNER,820,NT,
35,BERRIMAH,828,NT,
36,KNUCKEY LAGOON,828,NT,
37,HOLTZE,829,NT,
38,DRIVER,830,NT,
39,DURACK,830,NT,
40,FARRAR,830,NT,
41,GRAY,830,NT,
42,MARLOW LAGOON,830,NT,
43,MOULDEN,830,NT,
44,PALMERSTON,830,NT,
45,SHOAL BAY,830,NT,
46,WOODROFFE,830,NT,
47,YARRAWONGA,830,NT,
48,GUNN,832,NT,
49,MITCHELL,832,NT,
50,ROSEBERY,832,NT,
51,ROSEBERY HEIGHTS,832,NT,
52,HOWARD SPRINGS,835,NT,
54,GIRRAWEEN,836,NT,
55,HERBERT,836,NT,
56,MANTON,837,NT,
57,BERRY SPRINGS,838,NT,
58,DUNDEE BEACH,840,NT,
59,DUNDEE DOWNS,840,NT,
60,DUNDEE FOREST,840,NT,
61,DARWIN RIVER,841,NT,
62,BATCHELOR,845,NT,
63,ADELAIDE RIVER,846,NT,
64,PINE CREEK,847,NT,
65,KATHERINE,850,NT,
66,BESWICK,852,NT,
67,DALY WATERS,852,NT,
68,KATHERINE,852,NT,
69,LAJAMANU,852,NT,
70,LARRIMAH,852,NT,
71,MANBULLOO,852,NT,
73,WAVE HILL,852,NT,
74,BORROLOOLA,854,NT,
75,TENNANT CREEK,860,NT,
78,ELLIOTT,862,NT,
81,NEWCASTLE WATERS,862,NT,
82,RENNER SPRINGS,862,NT,
83,TENNANT CREEK,862,NT,
84,WARREGO,862,NT,
86,ALICE SPRINGS,870,NT,
87,ALI CURUNG,872,NT,
88,ALICE SPRINGS,872,NT,
89,AMATA,872,NT,
91,AREYONGA,872,NT,
92,ERLDUNDA,872,NT,
93,FINKE,872,NT,
94,GIBSON DESERT NORTH,872,WA,
95,HAASTS BLUFF,872,NT,
96,KINTORE,872,NT,
97,SANTA TERESA,872,NT,
98,TI TREE,872,NT,
100,WILLOWRA,872,NT,
101,YUELAMU,872,NT,
102,YUENDUMU,872,NT,
103,YULARA,872,NT,
105,NHULUNBUY,880,NT,
106,JABIRU,886,NT,
107,DAWES POINT,2000,NSW,
108,HAYMARKET,2000,NSW,
109,MILLERS POINT,2000,NSW,
110,PARLIAMENT HOUSE,2000,NSW,
111,SYDNEY,2000,NSW,
112,SYDNEY SOUTH,2000,NSW,
113,THE ROCKS,2000,NSW,
114,THE UNIVERSITY OF SYDNEY,2006,NSW,
115,BROADWAY,2007,NSW,
116,ULTIMO,2007,NSW,
117,CHIPPENDALE,2008,NSW,
118,DARLINGTON,2008,NSW,
119,PYRMONT,2009,NSW,
120,DARLINGHURST,2010,NSW,
121,SURRY HILLS,2010,NSW,
122,ELIZABETH BAY,2011,NSW,
124,POTTS POINT,2011,NSW,
125,RUSHCUTTERS BAY,2011,NSW,
126,WOOLLOOMOOLOO,2011,NSW,
127,ALEXANDRIA,2015,NSW,
128,BEACONSFIELD,2015,NSW,
129,EVELEIGH,2015,NSW,
130,REDFERN,2016,NSW,
131,WATERLOO,2017,NSW,
132,ZETLAND,2017,NSW,
133,EASTLAKES,2018,NSW,
134,ROSEBERY,2018,NSW,
135,BANKSMEADOW,2019,NSW,
136,BOTANY,2019,NSW,
137,MASCOT,2020,NSW,
138,SYDNEY DOMESTIC AIRPORT,2020,NSW,
139,SYDNEY INTERNATIONAL AIRPORT,2020,NSW,
140,MOORE PARK,2021,NSW,
141,PADDINGTON,2021,NSW,
142,BONDI JUNCTION,2022,NSW,
144,QUEENS PARK,2022,NSW,
145,BELLEVUE HILL,2023,NSW,
146,BRONTE,2024,NSW,
147,WAVERLEY,2024,NSW,
148,WOOLLAHRA,2025,NSW,
149,BONDI,2026,NSW,
150,BONDI BEACH,2026,NSW,
151,NORTH BONDI,2026,NSW,
152,TAMARAMA,2026,NSW,
153,DARLING POINT,2027,NSW,
154,EDGECLIFF,2027,NSW,
155,HMAS RUSHCUTTERS,2027,NSW,
156,POINT PIPER,2027,NSW,
157,DOUBLE BAY,2028,NSW,
158,ROSE BAY,2029,NSW,
159,DOVER HEIGHTS,2030,NSW,
160,HMAS WATSON,2030,NSW,
161,ROSE BAY NORTH,2030,NSW,
162,VAUCLUSE,2030,NSW,
163,WATSONS BAY,2030,NSW,
164,CLOVELLY,2031,NSW,
165,CLOVELLY WEST,2031,NSW,
166,RANDWICK,2031,NSW,
167,ST PAULS,2031,NSW,
168,DACEYVILLE,2032,NSW,
169,KINGSFORD,2032,NSW,
170,KENSINGTON,2033,NSW,
171,COOGEE,2034,NSW,
172,SOUTH COOGEE,2034,NSW,
173,MAROUBRA,2035,NSW,
174,MAROUBRA SOUTH,2035,NSW,
175,PAGEWOOD,2035,NSW,
176,CHIFLEY,2036,NSW,
177,EASTGARDENS,2036,NSW,
178,HILLSDALE,2036,NSW,
179,LA PEROUSE,2036,NSW,
180,LITTLE BAY,2036,NSW,
181,MALABAR,2036,NSW,
182,MATRAVILLE,2036,NSW,
183,PHILLIP BAY,2036,NSW,
184,PORT BOTANY,2036,NSW,
185,FOREST LODGE,2037,NSW,
186,GLEBE,2037,NSW,
187,ANNANDALE,2038,NSW,
188,ROZELLE,2039,NSW,
189,LEICHHARDT,2040,NSW,
190,LILYFIELD,2040,NSW,
191,BALMAIN,2041,NSW,
192,BALMAIN EAST,2041,NSW,
193,BIRCHGROVE,2041,NSW,
194,ENMORE,2042,NSW,
195,NEWTOWN,2042,NSW,
196,ERSKINEVILLE,2043,NSW,
197,ST PETERS,2044,NSW,
198,SYDENHAM,2044,NSW,
199,TEMPE,2044,NSW,
200,HABERFIELD,2045,NSW,
201,ABBOTSFORD,2046,NSW,
202,CANADA BAY,2046,NSW,
203,CHISWICK,2046,NSW,
204,FIVE DOCK,2046,NSW,
205,RODD POINT,2046,NSW,
